Question,Answer
What was in the parcel Reinhard recieves when he is at the Ratskeller?,Cake and letters
When does Reinhard return home?,Easter
Who gets engaged to Elisabeth?,Ehrich
What is Ehrich's estate called?,Immensee
What does Reinhard try to retrieve from the middle of the lake?,A lily
"In the beginning of the story, what type of career does Genji pursue?",An imperial officer.
"How do Genji's feelings change toward his stepmother, Lady Fujitsubo?",He falls in love with her.
Who is Murasaki to Lady Fujitsubo?,Her niece.
Who does Genji want Murasaki to be like?,Lady Fujitsubo.
What is Emperor Suzaku forced to do to Genji as a result of his affair?,Exile him.
"Knowing Genji is his real father, what does Reizei do for him when he becomes Emperor?",He raises his rank to the highest possible.
Who is Karou's real father?,Kashiwagi.
"Who are the two main characters in ""The Uji Chapters""?",Karou and Niou.
What happens as a result of Genji having problems with his wife and his frustration involving Lady Fujitsubo?,He begins having love affairs with other women.
What is the main concentration of the story?,Genji's romantic life.
Who is Hikaru Genji's father?,Emperor Kiritsubo
What was Genji's sir name changed to?,Minamoto
How old was Genji when his mother died?,Three years old
Who is the father of Reizei?,Genji
Who does Genji marry after Lady Aoe dies?,Murasaki
Who becomes Emporer after Genji's father dies?,Suzaku
She gives birth to Genji's only daughter?,Akashi's daughter
Who raises Genji's rank?,His son Reizei
What does murasaki become late in life?,A nun
Who is the Emperess' son?,Niou
How old is Murasaki when she meets Genji?,10 years old.
How many biological children does Genji have?,"He has three children, two sons and one daughter."
Why was Genji exiled?,"His affair with Oborozukiyo, one of Emperor Suzaku's concubines, is discovered."
Who are Kaoru's biological parents?,The Third Princess and Genji's nephew.
Who are Genji's parents?,Emperor Kiritsubo and the concubine Lady Kiritsubo.
What is Genji's relationship with Emperor Suzaku?,They are half-brothers.
What is the conflict between Kaoru and Niou at the end of the story?,Kaoru believes that Niou has stolen the woman he loves.
Why does Emperor Kiritsubo choose Lady Fujitsubo as his wife?,"She resembles Lady Kiritsubo, who died."
How many wives does Genji have?,"He has three wives, Lady Aoi, Murasaki, and the Third Princess."
What does Murasaki do after Genji's marriage to the Third Princess?,She becomes a bikuni (nun).
Who kills the janitor and guidance counselor?,Ginger
Why does Ginger kill Sam in front of Brigitte?,She sees Brigitte's revulsion at the idea of drinking Sam's blood.
Who confronts Ginger about the death of her dog?,Trina
How is Jason cured?,Brigitte uses the monkshood on Jason.
How is Jason infected?,He had unprotected sex with Ginger.
What does Sam and Brigitte believe attacked Ginger?,a werewolf
Why did Sam advise Brigitte to convince Ginger to get a silver belly ring?,He thought it would cure her.
What suburb is experiencing a problem with dog killings?,Bailey Downs
What are Brigitte and Ginger Fitzgerald fascinated by?,death
Who undergoes physical and mental changes as a result of an attack by a creature?,Ginger
What kind of pact do the two teenage sisters form?,To die together.
What is caused directly by Ginger beginning her first period?,She is attacked by the dog creature responsible for the maulings.
Who runs over the creature after Ginger is bitten?,Sam
"Besides using Monkshood, what other cures does Sam try to cure Ginger?",Piercing her naval with a silver ring. 
What do the girls claim the blood from Trina's death is to their parents?,A school project
How do the sisters ultimately dispose of the body after putting it in the freezer?,Bury it. 
What cure does Brigitte use on Jason that proves effective?,Monkshood
Where does Brigitte and Same take Ginger after they knock her unconscious with a shovel? ,The Fitzgerald house
What happens holiday does Brigette try to track down Ginger on with the cure?,Halloween
What does Ginger do to Brigitte at the end of the story to solve the conflict?,She kills her with a knife
Why are the dogs dieing?,They are being attacked by a wild animal.
What are the sisters fascinated with?,The sisters are intrigued by death.
What happens to Ginger when they go to steal a dog?,Ginger starts her menustration.
What happens to Ginger as a result of her menustration?,She and her sister are attacked by the wild animal.
What happens to the wild animal?,It is splattered by a moving car.
How is Ginger different after her attack?,Her attitude is bad and she is growing hair all over.
What does Bidgette and Sam believe?,They think Ginger is turning into a monster.
How will this help Ginger?,Bridgette thinks the sterling silver will make her back to normal..
Where does Doug and his groomsmen go for his bachelor party?,They go to Las Vegas.
Who does the tiger belong to that they found in their hotel bathroom?,The tiger belongs to Mike Tyson.
Why is everyone suffering from memory loss from the previous night?,They were all given Roofies (Rohypnol).
Who does the baby belong to that they found in the closet?,"The baby belongs to Jade, the stripper that married Stu."
"Why is Leslie Chow so agree with the Stu, Alan, and Phil?","Leslie claims that they kidnapped him and stole $80,000 from him."
"How do Stu, Alan, and Phil get the $80,000 to pay back Chow to get Doug back?",Alan counts cards and wins big at Blackjack.
"Once they realize that Chow doesn't have the real Doug, where do they find him?",They find him on the roof of the hotel.
"Before leaving Las Vegas, whom does Stu set a date with?","He sets up a date with Jade, his stripper wife."
Did the group make it back in time for the wedding?,"They were late, but the wedding still happened as planned."
"In which hotel do Doug, Phil, Stu and Alan stay during their bachelor's party? ",Caesars Palace.
"What do Phil, Stu and Alan find in their hotel room bathroom?",A tiger.
"What name do Phil, Stu and Alan call the baby before they learn his real name?",Carlos.
What drug was slipped into all 4 men's drinks on the night of the party?,Rohypnol.
"How much money does Leslie Chow demand from Stu, Alan, and Phil?","80,000 dollars."
"What does Mike Tyson want Phil, Alan, and Stu to return to him?",His tiger.
"Who slipped the drugs into Phil, Alan, Stu and Doug's drinks?",Alan.
Who is the mother of the baby that was discovered in the hotel room?,Jade.
Which one of the men got married at a chapel?,Stu.
"Where do Phil, Stu, and Alan find Doug?",On the hotel roof.
Who was Tracy Garner?,Doug Billings fiance
Who was Jade?,Jane was  stripper
Who was Alan?,Tracy Garner brother
"Why was Stu,Alan and Phil arrested?",They were arrested for stealing a police cruiser
Who jumped out of theMercedes  trunk naked?,Chow
Which Doug Chow had?,The black Doug
"How did Stu, Alan and Phil get $80,000 for Chow?",Alan won the mney at casino.
"Whare did Stu,Alan and Phil found Doug?",On the roof of the hotel
"Why did Stu,Alan and Phil lost their memories?",Alan drug thier drink
Where did the former captain of the starship Enterprise work at the beginning of the story?,San Francisco
What specifically kills two officers on the Enterprise while it is on the way to find and meet the cloud of energy?,a malfunctioning transporter
What emotion does Decker feel after Kirk takes command of the enterprise?,anger
